entry_time,exit_time,strike,option_type,entry_price,exit_price,pnl
2023-01-02 11:06:00+05:30,2023-01-02 11:39:00+05:30,18200.0,CE,80.4,102.95,2254.9999999999995
2023-01-02 14:31:00+05:30,2023-01-02 14:51:00+05:30,18150.0,PE,107.55,134.85,-2729.9999999999995
2023-01-03 10:24:00+05:30,2023-01-03 10:25:00+05:30,18250.0,CE,61.9,80.4,1850.0000000000007
2023-01-03 12:36:00+05:30,2023-01-03 12:40:00+05:30,18150.0,PE,107.55,134.85,-2729.9999999999995
2023-01-04 11:21:00+05:30,2023-01-04 12:00:00+05:30,18100.0,PE,85.2,66.3,1890.0000000000005
2023-01-06 09:49:00+05:30,2023-01-06 09:50:00+05:30,18050.0,CE,233.5,262.35,2885.0000000000023
2023-01-06 10:38:00+05:30,2023-01-06 10:45:00+05:30,17950.0,PE,87.6,73.25,1434.9999999999995
2023-01-06 13:01:00+05:30,2023-01-06 13:26:00+05:30,17850.0,PE,62.45,52.35,1010.0000000000001
2023-01-09 09:45:00+05:30,2023-01-09 09:51:00+05:30,18050.0,CE,233.5,262.35,2885.0000000000023
2023-01-09 11:44:00+05:30,2023-01-09 11:45:00+05:30,18150.0,CE,173.55,201.6,2804.999999999998
2023-01-09 13:18:00+05:30,2023-01-09 13:20:00+05:30,18100.0,PE,139.4,118.55,2085.000000000001
2023-01-09 13:33:00+05:30,2023-01-09 13:51:00+05:30,18050.0,PE,118.55,102.85,1570.0000000000002
2023-01-10 09:44:00+05:30,2023-01-10 10:05:00+05:30,18000.0,PE,102.85,87.6,1525.0
2023-01-10 13:02:00+05:30,2023-01-10 13:46:00+05:30,17900.0,PE,73.25,62.45,1079.9999999999998
2023-01-10 15:22:00+05:30,2023-01-10 15:23:00+05:30,17900.0,CE,333.6,333.6,0.0
2023-01-10 15:24:00+05:30,2023-01-10 15:25:00+05:30,17900.0,CE,333.6,333.6,0.0
2023-01-11 10:40:00+05:30,2023-01-11 10:56:00+05:30,17950.0,CE,298.55,333.6,3505.000000000001
2023-01-12 10:18:00+05:30,2023-01-12 10:32:00+05:30,17850.0,PE,62.45,52.35,1010.0000000000001
2023-01-12 10:40:00+05:30,2023-01-12 10:46:00+05:30,17800.0,PE,52.35,62.45,-1010.0000000000001
2023-01-12 11:25:00+05:30,2023-01-12 12:24:00+05:30,17800.0,PE,52.35,62.45,-1010.0000000000001
2023-01-13 12:37:00+05:30,2023-01-13 13:48:00+05:30,17900.0,CE,394.65,329.85,-6479.999999999995
2023-01-13 15:24:00+05:30,2023-01-13 15:25:00+05:30,17950.0,CE,383.9,383.9,0.0
2023-01-16 13:32:00+05:30,2023-01-16 13:41:00+05:30,17950.0,CE,383.9,394.65,1075.0
2023-01-17 10:07:00+05:30,2023-01-17 10:38:00+05:30,18000.0,CE,329.85,285.9,-4395.000000000005
2023-01-17 13:09:00+05:30,2023-01-17 13:44:00+05:30,17950.0,PE,134.4,146.0,-1159.9999999999995
2023-01-17 14:50:00+05:30,2023-01-17 15:05:00+05:30,18000.0,CE,329.85,285.9,-4395.000000000005
2023-01-17 15:21:00+05:30,2023-01-17 15:22:00+05:30,18050.0,CE,285.9,285.9,0.0
2023-01-17 15:23:00+05:30,2023-01-17 15:24:00+05:30,18050.0,CE,285.9,285.9,0.0
2023-01-17 15:25:00+05:30,2023-01-17 15:26:00+05:30,18050.0,CE,285.9,285.9,0.0
2023-01-17 15:27:00+05:30,2023-01-17 15:28:00+05:30,18050.0,CE,285.9,285.9,0.0
2023-01-18 09:23:00+05:30,2023-01-18 09:24:00+05:30,18100.0,CE,271.5,285.9,1439.9999999999977
2023-01-18 11:42:00+05:30,2023-01-18 12:18:00+05:30,18150.0,CE,245.15,216.7,-2845.000000000002
2023-01-19 10:20:00+05:30,2023-01-19 10:23:00+05:30,18050.0,PE,170.6,185.55,-1495.0000000000018
2023-01-20 10:33:00+05:30,2023-01-20 10:39:00+05:30,18150.0,CE,294.5,323.5,2900.0
2023-01-23 09:46:00+05:30,2023-01-23 09:47:00+05:30,18150.0,CE,294.5,323.5,2900.0
2023-01-23 10:01:00+05:30,2023-01-23 12:04:00+05:30,18150.0,CE,294.5,323.5,2900.0
2023-01-23 12:23:00+05:30,2023-01-23 14:06:00+05:30,18100.0,PE,215.0,236.0,-2100.0
2023-01-25 09:36:00+05:30,2023-01-25 09:41:00+05:30,18050.0,PE,199.5,179.35,2015.0000000000005
2023-01-25 09:42:00+05:30,2023-01-25 09:47:00+05:30,18050.0,PE,199.5,179.35,2015.0000000000005
2023-01-25 09:48:00+05:30,2023-01-25 09:49:00+05:30,18050.0,PE,199.5,179.35,2015.0000000000005
2023-01-25 09:50:00+05:30,2023-01-25 10:14:00+05:30,18000.0,PE,179.35,161.6,1775.0
2023-01-25 10:25:00+05:30,2023-01-25 10:49:00+05:30,17950.0,PE,161.6,146.05,1554.9999999999982
2023-01-25 11:04:00+05:30,2023-01-25 11:07:00+05:30,17900.0,PE,146.05,161.6,-1554.9999999999982
2023-01-27 09:41:00+05:30,2023-01-27 09:42:00+05:30,17750.0,PE,191.0,160.0,3100.0
2023-01-27 09:58:00+05:30,2023-01-27 10:07:00+05:30,17750.0,PE,191.0,145.0,4600.0
2023-01-27 14:25:00+05:30,2023-01-27 14:35:00+05:30,17500.0,PE,98.1,147.35,-4925.0
2023-01-30 12:47:00+05:30,2023-01-30 12:50:00+05:30,17550.0,PE,147.35,98.1,4925.0
2023-01-30 13:16:00+05:30,2023-01-30 13:17:00+05:30,17500.0,PE,98.1,119.25,-2115.0000000000005
2023-01-30 13:18:00+05:30,2023-01-30 13:23:00+05:30,17450.0,PE,119.25,98.1,2115.0000000000005
2023-01-30 15:16:00+05:30,2023-01-30 15:17:00+05:30,17650.0,CE,502.55,502.55,0.0
